-------------------------------------------------------------------------------------------- benchmark: 163 tests --------------------------------------------------------------------------------------------
Name (time in ms)                  Min                    Max                   Mean              StdDev                 Median                 IQR            Outliers      OPS            Rounds  Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
test_Measure[22]              527.3861 (108.93)      550.1293 (31.77)       539.1166 (46.76)     10.8237 (5.05)        541.4067 (51.29)     20.8069 (18.07)         3;0   1.8549 (0.02)          5           1
test_Measure[23]              602.2631 (124.39)      711.2583 (41.08)       656.5918 (56.95)     41.9819 (19.61)       656.2446 (62.17)     62.5830 (54.34)         2;0   1.5230 (0.02)          5           1
test_Measure[24]              961.0409 (198.49)    1,046.5530 (60.45)     1,003.8202 (87.07)     39.8460 (18.61)     1,016.7383 (96.33)     73.8236 (64.10)         3;0   0.9962 (0.01)          5           1
test_Measure[25]            1,643.4998 (339.45)    1,689.3837 (97.58)     1,669.6213 (144.83)    19.4297 (9.07)      1,669.5805 (158.18)    33.1222 (28.76)         2;0   0.5989 (0.01)          5           1
test_Measure[4]                38.3077 (7.91)        112.9594 (6.52)         72.9313 (6.33)      20.9238 (9.77)         72.0189 (6.82)      13.6137 (11.82)         4;3  13.7115 (0.16)         13           1
test_Measure[5]                83.0409 (17.15)       115.2829 (6.66)         99.0981 (8.60)      10.2946 (4.81)        101.4603 (9.61)      14.4490 (12.55)         3;0  10.0910 (0.12)          9           1
test_Measure[6]               110.4385 (22.81)       132.3596 (7.64)        122.1686 (10.60)      7.4962 (3.50)        123.5902 (11.71)     13.2324 (11.49)         5;0   8.1854 (0.09)         10           1
test_Measure[7]                66.5398 (13.74)       148.5223 (8.58)        111.6583 (9.69)      27.9422 (13.05)       119.3951 (11.31)     39.6585 (34.44)         3;0   8.9559 (0.10)         10           1
test_Measure[8]                89.8694 (18.56)       161.3630 (9.32)        129.7377 (11.25)     28.6695 (13.39)       143.1062 (13.56)     46.9291 (40.75)         2;0   7.7079 (0.09)          7           1
test_Measure[9]               135.1761 (27.92)       179.4750 (10.37)       164.9098 (14.30)     16.5529 (7.73)        169.4698 (16.06)     20.2684 (17.60)         1;0   6.0639 (0.07)          6           1
test_T[10]                     10.4088 (2.15)         32.9989 (1.91)         15.1145 (1.31)       3.4305 (1.60)         13.8399 (1.31)       2.8487 (2.47)         20;4  66.1616 (0.76)         82           1
